"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","694","Проверка выпадающего списка вопроса 4","tests","2025-11-06","passed","2025-11-06","TestQuestions","test_questions","",""
"","671","Проверка выпадающего списка вопроса 2","tests","2025-11-06","passed","2025-11-06","TestQuestions","test_questions","",""
"","2505","Проверка успешного заказа через top кнопку","tests","2025-11-06","passed","2025-11-06","TestOrder","test_order","",""
"","700","Проверка выпадающего списка вопроса 5","tests","2025-11-06","passed","2025-11-06","TestQuestions","test_questions","",""
"","684","Проверка выпадающего списка вопроса 6","tests","2025-11-06","passed","2025-11-06","TestQuestions","test_questions","",""
"","705","Проверка выпадающего списка вопроса 0","tests","2025-11-06","passed","2025-11-06","TestQuestions","test_questions","",""
"","230","Проверка редиректа по логотипу Самоката","tests","2025-11-06","passed","2025-11-06","TestOrder","test_order","",""
"","728","Проверка выпадающего списка вопроса 7","tests","2025-11-06","passed","2025-11-06","TestQuestions","test_questions","",""
"","685","Проверка выпадающего списка вопроса 1","tests","2025-11-06","passed","2025-11-06","TestQuestions","test_questions","",""
"","676","Проверка редиректа по логотипу Яндекса","tests","2025-11-06","passed","2025-11-06","TestOrder","test_order","",""
"","705","Проверка выпадающего списка вопроса 3","tests","2025-11-06","passed","2025-11-06","TestQuestions","test_questions","",""
"","2492","Проверка успешного заказа через bottom кнопку","tests","2025-11-06","passed","2025-11-06","TestOrder","test_order","",""
